,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
772,1.52735E+18,2022-05-19 18:09:23+00:00,RT @Liv_Boeree: Daily reminder that your brain on Twitter is being hijacked by an algorithm designed to do one thing: maximise engagement.…,0,10466,,1
773,1.52735E+18,2022-05-19 17:56:22+00:00,https://t.co/fdy0nedGMs,266353,29168,,1
796,1.52709E+18,2022-05-19 01:05:07+00:00,😛 🍿,352375,22052,,1
797,1.52701E+18,2022-05-18 19:39:47+00:00,@waitbutwhy 💯,12365,496,,1
810,1.52684E+18,2022-05-18 08:00:05+00:00,@garyblack00 Or 14 times higher than Twitter’s 5% in my case 🤨,12912,930,,1
811,1.52683E+18,2022-05-18 07:58:30+00:00,@garyblack00 So … [checks calculator] … that would be like 10 times more than 5%,31113,3144,,1
812,1.52683E+18,2022-05-18 07:43:40+00:00,@garyblack00 Interesting,10804,714,,1
814,1.52682E+18,2022-05-18 07:15:54+00:00,bullsh*t baffles brains,231173,17834,,1
815,1.52682E+18,2022-05-18 06:51:51+00:00,"RT @ICannot_Enough: Fresh @elonmusk interview, courtesy @theallinpod :
https://t.co/WmIbsqxuVY",0,1896,,1
816,1.52681E+18,2022-05-18 06:35:20+00:00,@heydave7 Yes,8637,453,,1
818,1.52672E+18,2022-05-18 00:41:34+00:00,@bennyjohnson Twitter exec trashing free speech &amp; mocking people with Asperger’s …,128024,23636,,1
819,1.52672E+18,2022-05-18 00:26:37+00:00,@bennyjohnson @Twitter 😔,86713,5497,,1
824,1.5266E+18,2022-05-17 16:21:33+00:00,"Twitter claims that &gt;95% of daily active users are real, unique humans. Does anyone have that experience?",109324,14133,,1
829,1.52647E+18,2022-05-17 07:35:28+00:00,@Andst7 @paraga Seems like Twitter should welcome external validation if their claims are true,19248,2177,,1
830,1.52647E+18,2022-05-17 07:32:19+00:00,"@Teslarati 20% fake/spam accounts, while 4 times what Twitter claims, could be *much* higher.

My offer was based on Twitter’s SEC filings being accurate.

Yesterday, Twitter’s CEO publicly refused to show proof of &lt;5%.

This deal cannot move forward until he does.",109102,15361,,1
838,1.52625E+18,2022-05-16 17:17:24+00:00,@paraga So how do advertisers know what they’re getting for their money? This is fundamental to the financial health of Twitter.,37746,3845,,1
848,1.52588E+18,2022-05-15 16:29:08+00:00,@TomFitton @netflix @Twitter @WSJ Good move by @netflix,105857,5104,,1
856,1.52573E+18,2022-05-15 06:44:57+00:00,"@MODL3PILOT @coffeetabletsla @PPathole @Twitter Yes, that would have a big impact!",4028,179,,1
857,1.52573E+18,2022-05-15 06:41:51+00:00,"@coffeetabletsla @PPathole @Twitter With usernames like that, the bots aren’t even trying hard!",3607,217,,1
873,1.52562E+18,2022-05-14 23:15:37+00:00,"@PPathole @Twitter Twitter legal just called to complain that I violated their NDA by revealing the bot check sample size is 100!

This actually happened.",42054,7163,,1
875,1.52561E+18,2022-05-14 23:04:15+00:00,"Very important to fix your Twitter feed:

1. Tap home button.
2. Tap stars on upper right of screen.
3. Select “Latest tweets”.

You are being manipulated by the algorithm in ways you don’t realize.

Easy to switch back &amp; forth to see the difference.",552397,97477,,1
876,1.52558E+18,2022-05-14 20:53:41+00:00,@TimRunsHisMouth 🤣🎯,20750,792,,1
879,1.52555E+18,2022-05-14 18:54:19+00:00,"At least, that’s what the lib hivemind thinks haha",129501,6218,,1
880,1.52555E+18,2022-05-14 18:52:07+00:00,Whoever thought owning the libs would be cheap never tried to acquire a social media company!,399849,32806,,1
881,1.52531E+18,2022-05-14 02:41:00+00:00,The bots are angry at being counted 🤣,833381,59144,,1
882,1.5253E+18,2022-05-14 02:39:22+00:00,"@PPathole @Twitter Any sensible random sampling process is fine. If many people independently get similar results for % of fake/spam/duplicate accounts, that will be telling.

I picked 100 as the sample size number, because that is what Twitter uses to calculate &lt;5% fake/spam/duplicate.",14213,1419,,1
883,1.5253E+18,2022-05-14 02:11:18+00:00,@fintwit_news @Twitter I relied upon the accuracy of Twitter’s public filings,21726,1299,,1
884,1.5253E+18,2022-05-14 02:09:10+00:00,@stevenmarkryan @teslaownersSV @Twitter Interesting,5436,260,,1
885,1.5253E+18,2022-05-14 02:01:09+00:00,"@teslaownersSV @Twitter If we collectively try to figure out the bot/duplicate user percentage, we can probably crowdsource a good answer",7632,836,,1
886,1.52529E+18,2022-05-14 01:53:09+00:00,"@teslaownersSV @Twitter Ignore first 1000 followers, then pick every 10th. I’m open to better ideas.",11373,814,,1
887,1.52529E+18,2022-05-14 01:50:50+00:00,@coffeetabletsla @Twitter Pick any account with a lot of followers,9062,525,,1
888,1.52529E+18,2022-05-14 01:47:07+00:00,"To find out, my team will do a random sample of 100 followers of @twitter. 

I invite others to repeat the same process and see what they discover …",126780,10628,,1
891,1.52508E+18,2022-05-13 11:50:06+00:00,Still committed to acquisition,204207,12693,,1
892,1.52505E+18,2022-05-13 09:44:38+00:00,"Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users
https://t.co/Y2t0QMuuyn",237688,29071,,1
902,1.52491E+18,2022-05-13 00:45:42+00:00,@ScottAdamsSays @DawgGabriel But I do think that twitter should authenticate all real users and prioritize those replies above unauthenticated users,11046,778,,1
905,1.52491E+18,2022-05-13 00:28:30+00:00,"@BillyM2k If Twitter can tell the difference between real and fake users, why does it allow these in our comments? https://t.co/0EuhTfaVfF",11270,895,,1
